nlist,nprobe,penetration,hit_rate
19,19,1.0,0.9429362880886426
20,1,0.05,0.7130193905817175
20,2,0.1,0.8570637119113573
20,3,0.15,0.903601108033241
20,4,0.2,0.9207756232686981
20,5,0.25,0.9313019390581717
20,6,0.3,0.9373961218836565
20,7,0.35,0.939612188365651
20,8,0.4,0.9434903047091413
20,9,0.45,0.9429362880886426
20,10,0.5,0.9429362880886426
20,11,0.55,0.9429362880886426
20,12,0.6,0.9429362880886426
20,13,0.65,0.9429362880886426
20,14,0.7,0.9429362880886426
20,15,0.75,0.9429362880886426
20,16,0.8,0.9429362880886426
20,17,0.85,0.9429362880886426
20,18,0.9,0.9429362880886426
20,19,0.95,0.9429362880886426
20,20,1.0,0.9429362880886426
21,1,0.047619047619047616,0.7462603878116344
21,2,0.09523809523809523,0.867590027700831
21,3,0.14285714285714285,0.9041551246537396
21,4,0.19047619047619047,0.9207756232686981
21,5,0.23809523809523808,0.9307479224376731
21,6,0.2857142857142857,0.9362880886426593
21,7,0.3333333333333333,0.939612188365651
21,8,0.38095238095238093,0.9412742382271468
21,9,0.42857142857142855,0.9418282548476454
21,10,0.47619047619047616,0.9418282548476454
21,11,0.5238095238095238,0.942382271468144
21,12,0.5714285714285714,0.9429362880886426
21,13,0.6190476190476191,0.9429362880886426
21,14,0.6666666666666666,0.9429362880886426
21,15,0.7142857142857143,0.9429362880886426
21,16,0.7619047619047619,0.9429362880886426
21,17,0.8095238095238095,0.9429362880886426
21,18,0.8571428571428571,0.9429362880886426
21,19,0.9047619047619048,0.9429362880886426
21,20,0.9523809523809523,0.9429362880886426
21,21,1.0,0.9429362880886426
22,1,0.045454545454545456,0.7257617728531855
22,2,0.09090909090909091,0.8631578947368421
22,3,0.13636363636363635,0.9058171745152355
22,4,0.18181818181818182,0.9224376731301939
22,5,0.22727272727272727,0.9307479224376731
22,6,0.2727272727272727,0.9357340720221606
22,7,0.3181818181818182,0.9401662049861496
22,8,0.36363636363636365,0.9418282548476454
22,9,0.4090909090909091,0.942382271468144
22,10,0.45454545454545453,0.9418282548476454
22,11,0.5,0.9429362880886426
22,12,0.5454545454545454,0.9429362880886426
22,13,0.5909090909090909,0.9429362880886426
22,14,0.6363636363636364,0.9429362880886426
22,15,0.6818181818181818,0.9429362880886426
22,16,0.7272727272727273,0.9429362880886426
22,17,0.7727272727272727,0.9429362880886426
22,18,0.8181818181818182,0.9429362880886426
22,19,0.8636363636363636,0.9429362880886426
22,20,0.9090909090909091,0.9429362880886426
22,21,0.9545454545454546,0.9429362880886426
22,22,1.0,0.9429362880886426
23,1,0.043478260869565216,0.7218836565096953
23,2,0.08695652173913043,0.8620498614958448
23,3,0.13043478260869565,0.9041551246537396
23,4,0.17391304347826086,0.9213296398891967
23,5,0.21739130434782608,0.9290858725761773
23,6,0.2608695652173913,0.9340720221606649
23,7,0.30434782608695654,0.9390581717451524
23,8,0.34782608695652173,0.9401662049861496
23,9,0.391304347826087,0.9418282548476454
23,10,0.43478260869565216,0.9418282548476454
23,11,0.4782608695652174,0.9429362880886426
23,12,0.5217391304347826,0.9429362880886426
23,13,0.5652173913043478,0.9429362880886426
23,14,0.6086956521739131,0.9429362880886426
23,15,0.6521739130434783,0.9429362880886426
23,16,0.6956521739130435,0.9429362880886426
23,17,0.7391304347826086,0.9429362880886426
23,18,0.782608695652174,0.9429362880886426
23,19,0.8260869565217391,0.9429362880886426
23,20,0.8695652173913043,0.9429362880886426
23,21,0.9130434782608695,0.9429362880886426
23,22,0.9565217391304348,0.9429362880886426
23,23,1.0,0.9429362880886426
24,1,0.041666666666666664,0.7351800554016621
24,2,0.08333333333333333,0.8664819944598338
24,3,0.125,0.9085872576177285
24,4,0.16666666666666666,0.9235457063711912
24,5,0.20833333333333334,0.9318559556786704
24,6,0.25,0.935180055401662
24,7,0.2916666666666667,0.9390581717451524
24,8,0.3333333333333333,0.9407202216066483
24,9,0.375,0.9418282548476454
24,10,0.4166666666666667,0.9412742382271468
24,11,0.4583333333333333,0.942382271468144
24,12,0.5,0.9429362880886426
24,13,0.5416666666666666,0.9429362880886426
24,14,0.5833333333333334,0.9429362880886426
24,15,0.625,0.9429362880886426
24,16,0.6666666666666666,0.9429362880886426
24,17,0.7083333333333334,0.9429362880886426
24,18,0.75,0.9429362880886426
24,19,0.7916666666666666,0.9429362880886426
24,20,0.8333333333333334,0.9429362880886426
24,21,0.875,0.9429362880886426
24,22,0.9166666666666666,0.9429362880886426
24,23,0.9583333333333334,0.9429362880886426
24,24,1.0,0.9429362880886426
25,1,0.04,0.7290858725761773
