nprobe,penetration,k,hit_rate
4,0.04,5,0.9235457063711912
4,0.04,6,0.9235457063711912
4,0.04,7,0.9235457063711912
4,0.04,8,0.9235457063711912
4,0.04,9,0.9240997229916897
4,0.04,10,0.9246537396121883
4,0.04,11,0.925207756232687
4,0.04,12,0.925207756232687
4,0.04,13,0.925207756232687
4,0.04,14,0.925207756232687
4,0.04,15,0.925207756232687
4,0.04,16,0.925207756232687
4,0.04,17,0.925207756232687
4,0.04,18,0.9257617728531856
4,0.04,19,0.9268698060941828
4,0.04,20,0.9268698060941828
4,0.04,21,0.9268698060941828
4,0.04,22,0.9268698060941828
4,0.04,23,0.9268698060941828
4,0.04,24,0.9268698060941828
4,0.04,25,0.9274238227146815
4,0.04,26,0.9274238227146815
4,0.04,27,0.9274238227146815
4,0.04,28,0.9274238227146815
4,0.04,29,0.9274238227146815
4,0.04,30,0.9279778393351801
4,0.04,31,0.9279778393351801
4,0.04,32,0.9279778393351801
4,0.04,33,0.9279778393351801
4,0.04,34,0.9279778393351801
4,0.04,35,0.9279778393351801
4,0.04,36,0.9279778393351801
4,0.04,37,0.9279778393351801
4,0.04,38,0.9279778393351801
4,0.04,39,0.9279778393351801
4,0.04,40,0.9279778393351801
4,0.04,41,0.9279778393351801
4,0.04,42,0.9279778393351801
4,0.04,43,0.9279778393351801
4,0.04,44,0.9279778393351801
4,0.04,45,0.9279778393351801
4,0.04,46,0.9279778393351801
4,0.04,47,0.9279778393351801
4,0.04,48,0.9279778393351801
4,0.04,49,0.9279778393351801
4,0.04,50,0.9279778393351801
5,0.05,1,0.9218836565096953
5,0.05,2,0.9263157894736842
5,0.05,3,0.9290858725761773
5,0.05,4,0.9318559556786704
5,0.05,5,0.9318559556786704
5,0.05,6,0.9318559556786704
5,0.05,7,0.9318559556786704
5,0.05,8,0.9318559556786704
5,0.05,9,0.9318559556786704
5,0.05,10,0.932409972299169
5,0.05,11,0.932409972299169
5,0.05,12,0.9335180055401662
5,0.05,13,0.9335180055401662
5,0.05,14,0.9335180055401662
5,0.05,15,0.9335180055401662
5,0.05,16,0.9335180055401662
5,0.05,17,0.9335180055401662
5,0.05,18,0.9335180055401662
5,0.05,19,0.9335180055401662
5,0.05,20,0.9335180055401662
5,0.05,21,0.9335180055401662
5,0.05,22,0.9340720221606649
5,0.05,23,0.9346260387811635
5,0.05,24,0.9346260387811635
5,0.05,25,0.935180055401662
5,0.05,26,0.935180055401662
5,0.05,27,0.935180055401662
5,0.05,28,0.935180055401662
5,0.05,29,0.9357340720221606
5,0.05,30,0.9357340720221606
5,0.05,31,0.9357340720221606
5,0.05,32,0.9357340720221606
5,0.05,33,0.9357340720221606
5,0.05,34,0.9362880886426593
5,0.05,35,0.9362880886426593
5,0.05,36,0.9362880886426593
5,0.05,37,0.9362880886426593
5,0.05,38,0.9362880886426593
5,0.05,39,0.9362880886426593
5,0.05,40,0.9362880886426593
5,0.05,41,0.9362880886426593
5,0.05,42,0.9362880886426593
5,0.05,43,0.9362880886426593
5,0.05,44,0.9362880886426593
5,0.05,45,0.9362880886426593
5,0.05,46,0.9362880886426593
5,0.05,47,0.9362880886426593
5,0.05,48,0.9362880886426593
5,0.05,49,0.9362880886426593
5,0.05,50,0.9362880886426593
6,0.06,1,0.9301939058171745
6,0.06,2,0.9362880886426593
6,0.06,3,0.939612188365651
6,0.06,4,0.942382271468144
6,0.06,5,0.942382271468144
6,0.06,6,0.9429362880886426
6,0.06,7,0.9434903047091413
6,0.06,8,0.9434903047091413
6,0.06,9,0.9434903047091413
6,0.06,10,0.9434903047091413
6,0.06,11,0.9440443213296399
