num_index_per_subject,M,ef_construction,ef_search,index_build_time,hit_rate,avg_time_ms,total_queries
2,32,400,400,0.0012,0.6375,0.0709,80
2,32,400,500,0.0012,0.6375,0.0616,80
2,32,500,100,0.0013,0.6375,0.0806,80
2,32,500,200,0.0012,0.6375,0.0706,80
2,32,500,300,0.0012,0.6375,0.0613,80
2,32,500,400,0.0012,0.6375,0.0628,80
2,32,500,500,0.0012,0.6375,0.0700,80
2,48,100,100,0.0011,0.6375,0.0632,80
2,48,100,200,0.0011,0.6375,0.0701,80
2,48,100,300,0.0011,0.6375,0.0639,80
2,48,100,400,0.0012,0.6375,0.0546,80
2,48,100,500,0.0010,0.6375,0.0547,80
2,48,200,100,0.0012,0.6375,0.0706,80
2,48,200,200,0.0012,0.6375,0.0737,80
2,48,200,300,0.0011,0.6375,0.0541,80
2,48,200,400,0.0011,0.6375,0.0615,80
2,48,200,500,0.0010,0.6375,0.0613,80
2,48,300,100,0.0010,0.6375,0.0595,80
2,48,300,200,0.0010,0.6375,0.0598,80
2,48,300,300,0.0012,0.6375,0.0736,80
2,48,300,400,0.0011,0.6375,0.0653,80
2,48,300,500,0.0010,0.6375,0.0602,80
2,48,400,100,0.0010,0.6375,0.0626,80
2,48,400,200,0.0011,0.6375,0.0599,80
2,48,400,300,0.0011,0.6375,0.0623,80
2,48,400,400,0.0011,0.6375,0.0699,80
2,48,400,500,0.0011,0.6375,0.0674,80
2,48,500,100,0.0011,0.6375,0.0692,80
2,48,500,200,0.0011,0.6375,0.0620,80
2,48,500,300,0.0011,0.6375,0.0646,80
2,48,500,400,0.0011,0.6375,0.0647,80
2,48,500,500,0.0012,0.6375,0.0557,80
2,64,100,100,0.0011,0.6375,0.0698,80
2,64,100,200,0.0011,0.6375,0.0718,80
2,64,100,300,0.0011,0.6375,0.0642,80
2,64,100,400,0.0011,0.6375,0.0551,80
2,64,100,500,0.0010,0.6375,0.0618,80
2,64,200,100,0.0010,0.6375,0.0614,80
2,64,200,200,0.0010,0.6375,0.0536,80
2,64,200,300,0.0010,0.6375,0.0585,80
2,64,200,400,0.0011,0.6375,0.0601,80
2,64,200,500,0.0011,0.6375,0.0532,80
2,64,300,100,0.0011,0.6375,0.0657,80
2,64,300,200,0.0011,0.6375,0.0597,80
2,64,300,300,0.0010,0.6375,0.0543,80
2,64,300,400,0.0011,0.6375,0.0629,80
2,64,300,500,0.0011,0.6375,0.0594,80
2,64,400,100,0.0010,0.6375,0.0539,80
2,64,400,200,0.0010,0.6375,0.0554,80
2,64,400,300,0.0011,0.6375,0.0693,80
2,64,400,400,0.0011,0.6375,0.0561,80
2,64,400,500,0.0011,0.6375,0.0674,80
2,64,500,100,0.0011,0.6375,0.0567,80
2,64,500,200,0.0011,0.6375,0.0598,80
2,64,500,300,0.0011,0.6375,0.0546,80
2,64,500,400,0.0012,0.6375,0.0709,80
2,64,500,500,0.0010,0.6375,0.0560,80
3,16,100,100,0.0025,0.6285714285714286,0.0994,70
3,16,100,200,0.0025,0.6285714285714286,0.0983,70
3,16,100,300,0.0025,0.6285714285714286,0.0967,70
3,16,100,400,0.0027,0.6285714285714286,0.0961,70
3,16,100,500,0.0027,0.6285714285714286,0.0892,70
3,16,200,100,0.0026,0.6285714285714286,0.0872,70
3,16,200,200,0.0026,0.6285714285714286,0.0974,70
3,16,200,300,0.0027,0.6285714285714286,0.0858,70
3,16,200,400,0.0026,0.6285714285714286,0.0892,70
3,16,200,500,0.0026,0.6285714285714286,0.0873,70
3,16,300,100,0.0027,0.6285714285714286,0.0898,70
3,16,300,200,0.0026,0.6285714285714286,0.0853,70
3,16,300,300,0.0025,0.6285714285714286,0.0959,70
3,16,300,400,0.0027,0.6285714285714286,0.0902,70
3,16,300,500,0.0025,0.6285714285714286,0.0964,70
3,16,400,100,0.0026,0.6285714285714286,0.1038,70
3,16,400,200,0.0029,0.6285714285714286,0.1113,70
3,16,400,300,0.0026,0.6285714285714286,0.0860,70
3,16,400,400,0.0025,0.6285714285714286,0.0949,70
3,16,400,500,0.0028,0.6285714285714286,0.1113,70
3,16,500,100,0.0025,0.6285714285714286,0.0931,70
3,16,500,200,0.0028,0.6285714285714286,0.1022,70
3,16,500,300,0.0027,0.6285714285714286,0.0858,70
3,16,500,400,0.0030,0.6285714285714286,0.1149,70
3,16,500,500,0.0027,0.6285714285714286,0.1012,70
3,32,100,100,0.0025,0.6285714285714286,0.1000,70
3,32,100,200,0.0025,0.6285714285714286,0.0970,70
3,32,100,300,0.0029,0.6285714285714286,0.1164,70
3,32,100,400,0.0030,0.6285714285714286,0.1080,70
3,32,100,500,0.0027,0.6285714285714286,0.1000,70
3,32,200,100,0.0026,0.6285714285714286,0.0971,70
3,32,200,200,0.0030,0.6285714285714286,0.1149,70
3,32,200,300,0.0029,0.6285714285714286,0.1156,70
3,32,200,400,0.0026,0.6285714285714286,0.1009,70
3,32,200,500,0.0026,0.6285714285714286,0.1033,70
3,32,300,100,0.0027,0.6285714285714286,0.1109,70
3,32,300,200,0.0026,0.6285714285714286,0.0954,70
3,32,300,300,0.0025,0.6285714285714286,0.0889,70
3,32,300,400,0.0026,0.6285714285714286,0.1050,70
3,32,300,500,0.0026,0.6285714285714286,0.0973,70
3,32,400,100,0.0026,0.6285714285714286,0.0948,70
3,32,400,200,0.0027,0.6285714285714286,0.1068,70
3,32,400,300,0.0025,0.6285714285714286,0.0977,70
3,32,400,400,0.0027,0.6285714285714286,0.1019,70
3,32,400,500,0.0025,0.6285714285714286,0.0977,70
3,32,500,100,0.0026,0.6285714285714286,0.0967,70
3,32,500,200,0.0028,0.6285714285714286,0.1128,70
3,32,500,300,0.0027,0.6285714285714286,0.0873,70
3,32,500,400,0.0029,0.6285714285714286,0.1082,70
3,32,500,500,0.0025,0.6285714285714286,0.0983,70
3,48,100,100,0.0025,0.6285714285714286,0.0927,70
3,48,100,200,0.0027,0.6285714285714286,0.0817,70
